MicroMag 2900/3900 Data File (Series 0016.002)
Direct moment vs. field; First-order reversal curves
Generated by Lake Shore 8600 series VSM software version 1.3

INSTRUMENT
Configuration			VSM
Temperature Control		None
Units of measure		SiMuNaughtH
Temperature in			Celsius

SCRIPT
Averaging time			0.3
Hb1				-0.0399999662134454
Hb2				0.0399999662134454
Hc2				0.399999662134454
HCal				0.439999628347899
HSat				1.79999847960504
NForc				160
PauseCal			1
PauseRvrsl			1
PauseSat			0.1
SlewRate			0.399999662134454
Smoothing			0
Includes hysteresis loop?	No

	Field		Moment
	(T)		(A·m²)
0.439337296191613, 1.20299581026031E-5

0.04, 3.24664691688591E-6

0.439344818543222, 1.20313213972596E-5

0.037, 3.04395029226201E-6
0.04, 3.2369847033224E-6
0.043, 3.42790056400617E-6

0.439340716251427, 1.20292828093772E-5

0.034, 2.8387811370856E-6
0.037, 3.02990448454501E-6
0.04, 3.2238201986573E-6
0.043, 3.41910826099912E-6
0.046, 3.61262111502272E-6

0.439336867177793, 1.202825216597E-5

0.031, 2.62725177580515E-6
0.034, 2.82448985205374E-6
0.037, 3.02377625869712E-6
0.04, 3.21642992925816E-6
0.043, 3.41335820377476E-6
0.046, 3.60564180565825E-6
0.049, 3.79694984452618E-6

0.439342177965738, 1.20292199477223E-5

0.028, 2.41795977581332E-6
0.031, 2.61408431611121E-6
0.034, 2.81290041333804E-6
0.037, 3.01195393200525E-6
0.04, 3.20795738977506E-6
0.043, 3.40516626135815E-6
0.046, 3.60172158030572E-6
0.049, 3.79510826258608E-6
0.052, 3.98301627901292E-6

0.439340243613756, 1.20282500479359E-5

0.025, 2.20232115689826E-6
0.028, 2.40393568769527E-6
0.031, 2.60180006189765E-6
0.034, 2.80383614181351E-6
0.037, 3.003724830143E-6
0.04, 3.20326118407685E-6
0.043, 3.40051080479799E-6
0.046, 3.59407338222653E-6
0.049, 3.78957108520694E-6
0.052, 3.97701171488993E-6
0.055, 4.16943025035277E-6

0.439346668628252, 1.20313367030536E-5

0.022, 1.98326953799725E-6
0.025, 2.18789762284665E-6
0.028, 2.38779430581184E-6
0.031, 2.59009070515135E-6
0.034, 2.7926076806539E-6
0.037, 2.99580105371032E-6
0.04, 3.19615115154454E-6
0.043, 3.39330111914504E-6
0.046, 3.58918702539723E-6
0.049, 3.78595031767145E-6
0.052, 3.97674321826751E-6
0.055, 4.16802316169343E-6
0.058, 4.35771893854115E-6

0.439351079356149, 1.20326736221906E-5

0.019, 1.76060575842983E-6
